sale_id,sale_date,quantity,discount_applied,payment_method ,discount_percent,product_name,brand_name,category,price,customer_name,city,gender,total_revenue,gross_revenue,discount_value
1,2024-01-01,1,No,Card,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Jan Dolezal,Prague,Male,52.85,52.85,0.0
2,2024-01-01,3,No,Online,0.0,Squalane Cleanser,The Ordinary,Cleansers & Face Washes,23.45,Nina Pavlovic,Zagreb,Female,70.35,70.35,0.0
3,2024-01-01,2,No,Online,0.0,Squalane Cleanser,The Ordinary,Cleansers & Face Washes,23.45,Filip Kitanov,Skopje,Male,46.9,46.9,0.0
4,2024-01-01,3,No,Online,0.0,Light Work Cleansing Oil,Pai Skincare,Cleansers & Face Washes,26.99,Alicja Nowicka,Krakow,Female,80.97,80.97,0.0
5,2024-01-01,2,No,Cash,0.0,Rosemary Mint Scalp & Hair Strengthening Oil,Mielle,Hair Care,22.25,Adina Voicu,Cluj-Napoca,Female,44.5,44.5,0.0
6,2024-01-01,2,No,Cash,0.0,Ground Rice & Honey Glow Mask,Beauty of Joseon,"Masks, Exfoliants & Facial Treatments",26.63,Endrit Basha,Tirana,Male,53.26,53.26,0.0
7,2024-01-01,2,No,Online,0.0,Light Work Cleansing Oil,Pai Skincare,Cleansers & Face Washes,26.99,Yannis Economou,Thessaloniki,Male,53.98,53.98,0.0
8,2024-01-01,1,No,Cash,0.0,Bio Organic Buckwheat Eye Care,Nuxe,Eye & Lip Care / Specialized Areas,35.9,Andrea Jakab,Budapest,Female,35.9,35.9,0.0
9,2024-01-01,2,No,Online,0.0,Hydrating Toning Mist,INIKA Organic,"Toners, Mists & Toning Products",43.17,Jakub Kriz,Prague,Male,86.34,86.34,0.0
10,2024-01-01,1,No,Online,0.0,Divine Face Oil Rosehip & Avocado,Antipodes,"Serums, Face Oils & Targeted Treatments",17.95,Cristina Rusu,Chisinau,Female,17.95,17.95,0.0
11,2024-01-01,2,No,Online,0.0,Bio Organic Buckwheat Eye Care,Nuxe,Eye & Lip Care / Specialized Areas,35.9,Radoslav Marinov,Sofia,Male,71.8,71.8,0.0
12,2024-01-01,2,No,Cash,0.0,Pure Rosehip Oil,Alteya  Organics,"Serums, Face Oils & Targeted Treatments",14.8,Elena Stan,Bucharest,Female,29.6,29.6,0.0
13,2024-01-01,3,No,Card,0.0,Lip Balm Lavender,Alteya Organics,Eye & Lip Care / Specialized Areas,10.94,Kostas Doukas,Athens,Male,32.82,32.82,0.0
14,2024-01-01,1,No,Card,0.0,Ground Rice & Honey Glow Mask,Beauty of Joseon,"Masks, Exfoliants & Facial Treatments",26.63,Erik Meier,Munich,Male,26.63,26.63,0.0
15,2024-01-01,2,No,Card,0.0,Natural Moisturizing Factors + HA,The Ordinary,Moisturizers & Creams,13.6,Filip Kitanov,Skopje,Male,27.2,27.2,0.0
16,2024-01-01,1,No,Online,0.0,Hand & Foot Oil,R.K's Aroma,"Body Care, Hands & Feet – Natural Skincare for the Whole Body",45.66,Elif Acar,Istanbul,Female,45.66,45.66,0.0
17,2024-01-01,3,No,Cash,0.0,Flowers Facial Oil Deep Rich,Whamisa Organic,"Serums, Face Oils & Targeted Treatments",52.85,Andrea Jakab,Budapest,Female,158.55,158.55,0.0
18,2024-01-01,3,No,Cash,0.0,Light Work Cleansing Oil,Pai Skincare,Cleansers & Face Washes,26.99,Erion Hoxha,Tirana,Male,80.97,80.97,0.0
19,2024-01-02,1,No,Card,0.0,Beautifying Toner,Henua Organics,"Toners, Mists & Toning Products",49.9,Noah Frei,Zurich,Male,49.9,49.9,0.0
20,2024-01-02,3,No,Cash,0.0,Turmeric Brightening Exfoliating Mask,Kora Organics,"Masks, Exfoliants & Facial Treatments",34.95,Manolis Kotsis,Athens,Male,104.85,104.85,0.0
21,2024-01-02,2,No,Cash,0.0,Beautifying Toner,Henua Organics,"Toners, Mists & Toning Products",49.9,Amina Hadzic,Sarajevo,Female,99.8,99.8,0.0
22,2024-01-02,3,No,Cash,0.0,Recovering Serum,MG Skincare,"Serums, Face Oils & Targeted Treatments",41.85,Marek Kaczmarek,Krakow,Male,125.55,125.55,0.0
